####### 2022/06/22 ~ 2025/05/30 #######
# 僅移除重複字串
# https://www.facebook.com/groups/1141798046611751/user/100001471821039/
香港Web3.0 m.qgqhbv.cc
Diamondfx diamonds-fx.com
DIEGO www.diegocoin.net
DIFCInvestment difcinvestment.world
WELTRADE stock-wel.com
Hyippro digital-trade.online
Digitalbase-expert digitalbase-expert.com
Digitalconsenstrade digitalconsenstrade.com
digitalfunds digitalfunds.ltd
Digitalfx-market digitalfx-market.com
DigitalGlobalTrade digitalglobaltrade.net
Digitalglobetrade digitalglobetrade.com
digitalinvetex digitalinvetex.ltd
Digital Online Fx digitalonlinefx.com
digitalsignalinvest digitalsignalinvest.com
Digital Solutions Investments digitalsolutionsinvestment.click
Digital Trade Exchange digitaltradexchange.com
DIGIT BIT PRO digitbitpro.com
DigiX Mining www.digixmining.com
Dimondcoins dimondcoins.com
Dimsfx dimsfx.com
Dipmine dipmine.net
DlcjCrypto Ltd dlcjcryptol.com
Dlightvertexfxm dlightvertexfxm.com
Dmcryptoinvestmen dmcryptoinvestment.com
DOFINEX TRADE dofinex.exchange
Decentralized Mega Investment Income deminvestincome.com
De-Nederlandsche trust corp denederlandschetrustcorp.com
Dentraders dentraders.com
Derive Fx Income derivefxincome.com
Deriv Finance derivfinance.org
descryptoweb des.eddglobalmining.com
Diamondinvestmentfx www.diamondinvestmentfx.com
飛翔 38k.menx2eH
FUPExchange fup-e.com
CoinsGi coinsgi.com
Coinshares-financial coinshares-financial.com
coinsharesinvestors coinsharesinvestors.uk
Coinshur coinshur.com
CoinsLord coinslord.online
CoinsMarket24 coinsmarket24.com
CoinSmart coinsmart.live
CoinSmart coinsmartgs.com
CoinSmart coinsmartgt.com
CoinSmart Pro coinsmartprowlc.com
Coinsmininglab coinsmininglab.com
CoinsPalMine coinspalmine.com
CoinsQu coinsqu.com
COINSSHOPS coinsshops.com
coinstopminings coinstopminings.ltd
CoinSurf coinsurf.bid
CoinSurf coinsurf.org
CoinSurf coinsurf.win
Cointadox cointadox.com
cointera cointera.net
CoinBank coin-1cad.site
CoinTracker cointracker.bond
CoinTracker cointracker.icu
CointradeZones cointradezones.com
Coinbase cointransaction.cash
Cointree cointree-au.net
CoinTwo cointwowlc.com
CoinUp www.coin-up.tech
coinupgo coinupgo.com
Coin UpTrade coinuptrade.com
Coinvanage coinvanage.com
coinvintage coinvintage.online
coinvintage coinvintage.website
ETH Mining coinw-defi.com
ETH Mining coinw-ecology.com
ETH Mining coinw-eth.com
ETH Mining coinw-index.com
ETH Mining coinw-usdt.com
coinw coinw6.com
COINWINS coinwins.online
Coinme coinime.site
COINSORBITS coinsorbits.com
LIFFE liffedc.com
Keystone International Markets Limited ksi-markets.com
Coinbase Defi ttcoin.so
Bityard www.bityardit.com
TPG piznd.com7jXrv
Tradingweb tradingwebpro.com
bitspinplus bitspinplus.com
Upbitcoin upbitcoin.one
dualism dualism.top
spreadupcryp spreadupcryp.com
Fastfundsrecovery fastfundsrecovery.net
Coinreclaims coinreclaims.com
Cofurex cofurex.org
Cognitivetrader cognitivetrader.org
CoinBank coin-113a.site
CoinBank coin-3483.site
CoinBank coin-934f.site
Coinbank coin-banks.net
coin-desks coin-desks.com
Coin Digital coin-digital.org
CoinBank coin-e549.site
CoinBank coin-e86e.site
CoinBank coin-ff4d.site
CoinHive coin-hive.works
coiniac coin-iac.com
MultiChainPad coin-multipad.org
coin-prism coin-prism.net
Coin-Up coin-up.app
Coin 2 Move coin2move.com
Coinacceso coinacceso.com
Coinann coinann.com
Coinassetholdings coinassetholdings.com
CoinAssetTrade coinassetrade.com
coinassettd coinassettd.online
CoinBag coinbag.site
Coinbase coinbase-trademax.com
Coinbase Trade coinbase-trades.com
coinbase coinbase-tradingmax.com
coinbase coinbase-tradingmaxpro.com
Coinbase coinbase-tradingpro.com
Coinbase coinbase-tradingpromax.com
Coinbase coinbase988.com
Coinbase coinbaseapp9.com
Coinbase coinbasedefi-max.com
coinbase coinbasedefi-promax.xyz
coinbasemax coinbasemax.bar
coinbase coinbasetrading-maxpro.com
coinbase coinbasetrading-plus.com
coinbase coinbasetrading-pro.com
coinbase coinbasetrading-promax.com
CoinBeeExpress coinbee-express.com
CoinBerry coinberry.vip
CoinBerry coinberrys.vip
coinbet88 coinbet88.vip
coinbility coinbility.net
COINBINTRADE coinbintrade.com
coinbitinvest coinbitinvest.net
Coinbloxglobal coinbloxglobal.com
CoinBoost 24Hub coinboost24hub.com
Coin Bux coinbux.online
coin casino coinca123.com
coin casino coinca808.com
coinchaintrader www.coinchaintrader.com
Coincryptocity coincryptocity.com
coindataflow coindataflow777.top
coindataflow coindataflow888.top
coindataflow coindataflow999.top
CoinDCX coindcx.net
coindeal-erc coindeal-erc.net
COINDEAL coindeal.app
COINDEAL coindeal.one
Coindexdigital-assets coindexdigital-assets.com
Coindexified coindexified.com
coindotmining coindotmining.ltd
CoinEcplaza www.coinecplaza.vip
Coinedge coinedge.org
Coinetpool coinetpool.com
CoinEx www.coinex.asia
COINEXECO coinexeco.org
COINEXECO coinexeco.xyz
Coinex Gains coinexgains.com
coinexmining coinexmining.com
CoinEx coinexsa.com
CoinEx coinexss.com
COINEX coinexvip.top
Coinfield coinfield.pro
Coinfish coinfish-defipro.com
Coinflow coinflow.cash
Coin Future Fx coinfuturefx.com
coinfx-chain coinfx-chain.com
Coin Fx Infinte coinfx-infinite.com
Coin FX Trade coinfxglobal.online
Coinfxprofits coinfxprofits.com
Coin FX Provest coinfxprovest.com
CoinGoldTrade coingoldtrade.org
Coin Grow coingrow.club
Coinhako coinhakoep.com
coinhako coinhakowlc.com
CoinSwitch coin-switch.com
coindataflow coindataflow666.top
bybitbtc by-bitbtc.com
Bybitex bybitex.com
BYBIT www.bybitsmart.xyz
BYBIT bybitss.com
BYBIT bybitzz.com
c-f-trade c-f-trade.com
C-TECH DIGITAL CRYPTO CURRENCY c-techdigitalcryptocurrency.com
Cal Crypto Expert www.calrecoveryexperts.com
camposinvest camposinvest.com
usdt cryptocurrency canadianarabianinvest.com
CapChainFX capchainfx.com
CAPFINANCE capfinance-a.com
CAPFINANCE capfinancedefi.com
Expert Crypto Access c-expertersaccess.com
CanvaMiner canvaminer.com
btc-check btc-check.net
Bitcoin iFex 360 AI btc-ifex-360-ai.com
KuCoinPro btcblockdefi.xyz
BTCbox btcboxvip.com
BTCBOX btcboxwlc.com
Btcbridge btcbridge.org
Btccap btccap.online
Btccap btccap.site
BTC Cash www.btccash.space
BtcTurk btccturk.com
BtcTurk btccturk.org
Bityx btcdo.online
Bitcoineer btceer.com
BTCFreeMining btcfreemining.com
BTC Free btcfreeprize.site
BTC Investment Trade btcinvestmenttrade.net
Btcmetaminingtrading btcmetaminingtrading.com
Bitcoin investment btcninvestments.com
BTC Free btcprizefree.site
Tesla btcrised.com
Binance (BNB) Blockchain Explorer btcscam.click
Binance (BNB) Blockchain Explorer btcscian.click
btctoto btctoto.com
btcturkabittrade btcturkabittrade.com
Fiancial income btcusdt365.com
btcvest btcvest.biz
Btcwallstreet btcwallstreet.org
BTC Free btcwinfree.link
BTC Win Life btcwinlife.com
Bits and Trade Fund btfund.org
BTMIN www.btminexp.com
Bull-mine bull-mine.com
Bullfx bullfx.live
Bull Invests bullinvests.com
BullinvestZone bullinvestzone.com
BullishFXM® bullishfxm.com
Bullish Tradepro bullishtradepro.com
Bullock Investment bullockinvestment.com
BullPro bullpro.info
Bull Stats bullstatstrading.com
Bull stocksfx bullstocksfx.com
burgeoncryptoinvestment burgeoncryptoinvestment.trade
BTFINANCE btfinance-a.com
Brimican Investments brimicaninvestments.com
BrimTrade brimtrade.live
Bristel Stock bristelstocktrades.com
Britbexoptions ™ britbexopt.com
brixminingexchange brixminingexchange.com
Brix Traders brixtraders.net
bro4trade bro4trade.com
Broadex broadex.uk
tradingpro brokerforex.wiki
BANKCEX down.oiejkkd.com/kjZsVQ8b
Amb Trade www.ambjdi.com
行雲集團 zn9.shopping-more.net
BrookStoneFinance brookstonefinance.org
Brownstone Financial brownstonefinance.org
btbankpro btbankpro.org
BTC-2022 btc-2022.com
BTC-2022 btc-2022.vip
BTCAU btc-au.com
Crypto Bee cryptobee.trade
cryptobinancesooptionss cryptobinancesooptionss.com
Crypto Investment cryptobinaryinvestment.com
Cryptobinexs cryptobinexs.com
Crypto Blockchain Research cryptoblockchainresearch.com
CSS Grid cryptoboostacademy.com
Crypto Bot cryptobot.social
Crypto BOTS cryptobots.site
Crypto Brokers Corporation cryptobrokerscorp.net
cryptocaf club cryptocaf.club
Crypto Capital Limited cryptocapital-limited.com
CRYPTOCOINDESKFX cryptocoindeskfx.com
CRYPTO COINS cryptocoins-wallet.com
CryptoCoin Trade Pro www.cryptocointradepro.info
Cryptocoop cryptocoop.info
cryptocrest cryptocrest.ltd
CryptoCurrens cryptocurrens.com
Cryptodiamond cryptodiamond.info
Crypto DiFi www.cryptodifi.com
CryptoEarnTech cryptoearntech.com
Crypto Elite cryptoelitehub.com
Crypto-Elites www.cryptoelites.online
Cryptoesence cryptoesence.org
Cryptoex cryptoex.tech
Cryptoexchangetrade cryptoexchangetrade.online
Crypto Exploit Trade cryptoexploites.com
Cryptoexplorer cryptoexplorer.ltd
Crypto Family cryptofamily.trade
Cryptofarm-latam cryptofarm-app.com
Coinwan cryptofarm.gives
Cryptofexy cryptofexy.com
Crypto Mask Trade cryptofinancetrader.com
cryptofirmminer cryptofirmminer.com
cryptofoxon cryptofoxon.com
cryptofrxtradeplatform cryptofrxtradeplatform.online
CRYPTOFXN cryptofxn.com
Cryptofxsignals cryptofxsignals.net
CRYPTOGALOR cryptogalorplus.com
Giveaway by Elon Musk cryptogiveaway.site
Cryptoguidefx cryptoguidefx.com
cryptohexetrade cryptohexetrade.com
cryptoimelitesiminers cryptoimelitesiminers.online
CryptoIndex500 cryptoindex500.top
Cryptoinexhange cryptoinexhange.com
world fx toptrade cryptoexpertoption.online
Bitnicepro bitnicepro.com
QRCapital24 bitnex24.net
bitmusa bitmusa-kr.com
BitMst bitmst.com
BitMeta bitmota.trade
Bitmofx bitmofx.net
BitMEX bitmex28.com
Bitmetatraders bitmetatraders.com
Bitmeta Trade bitmetatrade1.com
bitmetask bitmetask.com
Bitmeta Trade www.bitmeta5.trade
Bitmeta bitmeta3.com
Bitmerrio bitmerrio.com
Bitmenix bitmenix.com
Bitme bitme.one
Bitmazdac bitmazdac.com
Bitmavel bitmavel.com
bitmaintechzone bitmaintechzone.com
bitmainmining bitmainmining.com
bitmainfinance bitmainfinance.com
BitMart bitm-art.com
LME bitlme.com
Bitlix bitlix.net
Bitlionx bitlionx.net
Bitleros bitleros.com
Bitlerd bitlerd.com
BITLAZA bitlaza.com
BITLARA bitlara.com
Bitkuni bitkuni.com
BITKONG bitkong.biz
Bitkonan bitkonanwlc.com
KKR bitkkr.com
BitKeep bitkkeep.com
BitKeep bitkeepp.com
BITJOIN CRYPTO bitjoincrypto.com
Bitpie比特派 bitipie.org
Bitpie比特派 bitipie.net
bitinvest bitinvest.pro
bitincinvest bitincinvest.com
BTC.b bitcoinbridge.network
Bitcoincap bitcoincap.online
Bitcoin Corporation www.bitcoincorporation.info
Bitcoin-De bitcoindehandelsunternehmen.net
bitcoineer bitcoineerofficial.com
Bitcoinenlatam bitcoinenlatam.com
Bitcoiner Faucet bitcoinerfaucet.com
BITCOIN GOLD bitcoingold.club
Bitcoin Gold bitcoingold.tech
BitcoinMexc bitcoinmexc.com
coinminers247 coinminers247.com
appbitcoinmx appbitcoinmx.xyz
bitcoinonline bitcoinonline.asia
Bitcoin Prime bitcoinprimeltd.com
Bitcoin Profit Way bitcoinprofitway.cash
Bitcoin Raffle www.bitcoinraffle.store
BITCOIN TRADING MASTERS bitcointradingmasters.com
Bitcoin Trade Union bitcointrdaeunion.com
bitcola-trade bitcola-trade.com
Bitconarix bitconarix.com
Bitconveno bitconveno.com
BitCoo bitcoocurrence.com
Bitcoptionx bitcoptionx.com
Bitcoreminers bitcoreminers.net
BTX Bitcore Exchange bitcores233.com
BitcoreTrade bitcoretrades.com
BitCropTrade bitcroptrade.com
Bitcrotrade bitcrotrade.net
BITCRYPTOGRAPH bitcryptograph.com
Bitcryptoinspector bitcryptoinspector.com
BITCRYPT OPTIONS bitcryptoptions.com
Bitcoin Storm bitcoinstormapp.io
BitcoinTrade bitcointradesinvestments.com
BITCOIN BIT | BSC bitcoinbitbsc.com
HPSIP h5.hpsip.net
AMM bitammaker.com
Bitandgo bitandgo.net
bitapexpiece bitapexpiece.online
Bitbank bitbankhk.com
Bitbase Investment bitbase-investment.com
BitBase Exchange bitbase.vip
Bitbazl bitbazl.com
Bitbeni bitbeni.ltd
BITBET69 bitbet69.live
CHILENO bitbi.vip
Bitbond Pro bitbond-pro.net
Bitbuly bitbuly.com
BitByer bitbyer66.com
BitByer bitbyer888.com
Bitcoin iFex 360 Ai™ bitc360ai.digital
BitCapitalEquity bitcapitalequity.com
QuantumAI bitcas-qc.cloud
QuantumAI bitcas-qd.cloud
Quantum Flash bitcas-qg.cloud
Quantum Flash bitcas-qi.cloud
Quantum Flash bitcas-qj.cloud
QuantumAI bitcash-ld.cloud
QuantumAI bitcash-lh.cloud
Bitcel bitcel.net
bitchain-coin bitchain-coin.ltd
BitChain Broker bitchainet.com
Coinchank bitchank.com
BitCloud bitcloud.exchange
Bitcloud Trade bitcloudtrade.com
bitclub168 slot bitclub168.pro
Bitclubplus bitclubplus.com
Tokenex bitco-ex.com
Bitcode Legend ™ bitcodelegend.org
Bitcode Prime bitcodeprime.review
BITCO bitcodigitalfx.com
Xaxino bitcoin-mining-143.xyz
QuantumAI generationapproval.info
Bitcoin Pro ™ bitcoin-pro-app.net
ETH Mining bitboxes.org
Bitaxchain bitaxchain.net
HOO www.coller-capital.co
臺灣期貨交易所 qh695.tw
BitGo bg-buycoin.com
BitGo bg-buybtc.com
BitGo bg-buycrypto.com
BitGo bg-bybtc.com
BitGo bg-coin.com
BitGo bg-crypto.com
BitGo bg-gobtc.com
BitGo bg-mybtc.com
BitGo bg-seebtc.com
BitGo bg-tobtc.com
BitGo bg-tocoin.com
BitGo bg-tocrypto.com
bgcpartnersfx bgcpartnersfx.net
BG Investment bginvestment.net
Bicurdex bicurdex.com
bigone-eth bigone-eth.info
Bigblue – Fx bigtechfx.com
Biinvestment biinvestment.org
bimvex bimvex.org
Binacrypto Tradelive ™ binacryptotradelive.com
binance-btc binance-btc.com
defi-mining binance-miningpools.com
Binance Trading Bot binancetradingbot.com
Binary-bits binary-bits.ltd
Binary Coins Option binarycoinsoption.com
BEETRADE bitono.asia
BITORO bitoro.top
Bitover bitover.org
BitPayeer bitpayeer.com
Bitpie比特派 bitpei.vip
Bitpie比特派 bitpen.club
Bitpie比特派 bitpie.bond
Bitpie比特派 bitpie.ltd
Bitplatix bitplatix.com
BITPLEXTRADING bitplextrading.com
bitplustrace bitplustrace.ltd
BITPOINT bitpoint58.xyz
BITPOINT bitpoint68.live
BITPOINT bitpoint98.live
BitProDev bitprodev.ltd
BitproFIN bitprofin.com
bitprofinance www.bitprofinance.com
Bitprov bitprov.com
bitpulseminer bitpulseminer.com
bitqy bitqy.net
Bitraco www.bitraco.net
Trade Minner Exchange bitrademinner.com
Bitradeoption bitradeoption.com
Bitramoneyclubfx bitramoneyclubfx.com
Bitrecap bitrecap.com
BitreeSea bitreesea.com
Bitrence bitrence.com
Bitrend bitrend.net
Bitrised bitrised.com
Bitrue bitrueacc.com
Bitruncoin bitruncoin.com
BITSBTC bits-btc.com
BIT5IVE bits5ive.com
BITSAFE bitsafe.vip
Bitsails bitsails.net
Bitsalphas bitsalphas.com
Bitscoinfxs bitscoinfxs.shop
bitscoinglobal bitscoinglobal.online
Bitscon bitscon.online
Bitscon bitscon.space
Bitsdaq bitsdaqx.net
Bits Farm bitsfarm.online
Bitsfxmarket LTD bitsfxmarket.com
Bitsgainfinancial bitsgainfinancial.com
bitsgat bitsgat.com
Bitsmarketfx bitsmarketfx.com
B bitsocoinsbr.com
B bitsocoinser.com
BSEX bitsoda.club
BSEX bitsoda.pro
BitsOlly bitsolly.com
Bitsoom bitsoom.com
Bitso Trading www.bitsotrading.net
BitSpectrum bitspectrum.org
Crypto Casino bitspincrypto.com
Pionex bitspionex.com
bitsstamps bitsstamps.com
BTS SWAP bitsswap.online
Bitstamap bitstamapacc.com
Bitstamp bitstamlip.com
Bitsten pc.bitsten.net
bitstock-networks bitstock-networks.com
bitsureforexinvestment bitsureforexinvestment.com
BitsYaks LTD bitsyaks.com
Bittechtrade bittechtrade.com
EurcloudEX bittokenex.com
BitTrade bittrade.space
Bittrading Option bittradingoption.com
Bittlist bittlist.com
AMATAK bittrading.info
bitdaxtraders bitdaxtraders.com
BITDAYTRADE bitdaytrade.world
BITDEAL bitdeal.vip
Bitdexion bitdexion.com
Bitebc bitebc.com
币安 accounts.bitechan.cloud
bitegain bitegain.ltd
BitEliteCapital bitelitecapital.com
Bitelitetrade bitelitetrade.org
bitemaxtrades bitemaxtrades.com
Bitpie比特派 bitepai.org
NAG bitexnag.net
Bitfin Capital bitfin.capital
Bitfin bitfin.su
Bit Finance bitfinanceinvestment.com
Bitfinancex bitfinancex.com
Bitfinex bitfinax.xyz
Bitfinex bitfindx.xyz
Bitfinex bitfine.xyz
Bitfinex bitfineex.xyz
Bitfinex bitfinex99.xyz
Bitfinex bitfinexmax.com
Bitfinex bitfinexs.xyz
Bitfirium bitfirium.com
bitfirmtrade bitfirmtrade.com
Bitflor BFX bitflor.com
bitfluiix bitfluiix.org
bitflyer bitflyerinvitationcode.xyz
bitfunds-ltd bitfunds-ltd.net
幣付多 Bitfuto bitfuto.com
Bit Forex bitfxbuilders.pro
Tbit bitfxhd.com
BITFXTM bitfxtm.net
Bitgain www.bitgain.money
Bitgain bitgaininvestment.com
BITGALAXY MINING bitgalaxymining.com
Bitgerax bitgerax.com
Bitget www.bitget-trade.com
Bitget bitget.market
Bitget www.bitgeten.com
BITGLOBAL bitglobals-miners.com
Bitglobaltrade bitglobaltrade.org
Bitglobo bitglobo.com
Bitgo Inc TradingPro bitgoinctradingpro.com
BITGOK bitgok.com
BitGold bitgold.click
bitgoldplatfrom bitgoldplatfrom.org
bitgoldtech bitgoldtech.ltd
Bitgor bitgor.net
Bithereum bithereumcoin.org
Bithold-exchange bithold-exchange.com
BitHubTraders bithubtraders.com
weipanweb bithumbcoin.com
BitiDigital World bitidigital.com
Bitlandcoins bitlandcoins.com
YH裕亨 bitlions.info
Bitkonan bitkonanacc.com
biteternally biteternally.com
Bitonline5x bitonline5x.org
Bitonjp bitonjpa.com
BitoBil bitobil.com
BAAL baalcoin.org
barbizoninvest barbizoninvest.com
baronafinancees baronafinancees.com
Barotedex barotedex.com
Bayfurt Finance bayfurt-finance.com
Awesome Trademark awesometrademark.com
AxiaFunder axf-invest.com
Axio Trade Limited axio-tradelimited.com
飛翔 www.feixianing.com
assestsfunds assestsfunds.com
asset-funds asset-funds.org
Assets-Refund assets-refund.com
Assets Cryptoview assetscryptoview.com
AsterCoin Globe astercoinglobe.com
Astrobitoptiontrade  astrobitoptiontrade.com
Astro Forex Trading astroforexxpro.com
Astro Forex Trading astroforexxprofessional.com
astrofxstockexchange astrofxstockexchange.com
Astro Investment astroinvestment.ltd
astroinvests astroinvests.com
Astronomic Crypto Trade astronomitrade.one
Astro Trade MC astrotrademc.org
AT Finance web.atcoin.vip
ATC Personal Finance atcpersonalfinance.com
Atlas Financial Union atlasfinancialunions.online
au-bitsfinance au-bitsfinance.com
Au Capital Funds au-capitalfunds.com
AuthPipsFx authpipsfx.com
auto-tether auto-tether.fun
AutoBot Trade autobottrades.com
AutoCryypto autoccrypto.com
Automated Usdt Capital automatedusdt.capital
Coin Tech Solution automaticextensioncryp.website
Autotrader Bot autotraderbot.online
Autotuning Mining Limited autotuning-mining.net
Auxi Invest auxiinvest.com
AvaCopyTrading avacopytrading.online
AvadTrading avadtrading.com
AVA Financial Trade avafinancial-trading.com
Award Winner avantexinc.com
Avestrade avestrade.net
Aviation Excellence Online avexol.com
ASTRA INVESTMENT astrainvest.ink
AUKK Global aukkex.com
Archiver Capital archivercapitalpro.com
Arcoins arcoins.org
ARK INVEST arkxtrainvest.com
ETH Mining ascendex-index.com
Ashitradersltd ashitradersltd.com
Asicmine Bitcoin Cloud Mining asicmine.net
ASIC Miner Delivery asicminerdelivery.com
ETH-AI arbitragecontract.com
ARKBIT CAPITAL www.arkbit.org
Asb Crypto asbcryptofunding.org
AscendEX ascendexwlc.com
恆通 www.gtnnsjqekh.com
Oyster oyster666.com
Amazon www.buyamzz.com
Shope蝦皮購物 www.spoewame.com
PCHome funtogopc24.com/lgaddg
Flow Traders flowextrade.com
MetaTrader 5 www.natcfx.com
國泰信貸 qhsajmypx.qian.mhrc.tw
尊堡娛樂城 tt01.zbaooo8588.com
喬美快貸 meiqtw.xyz
OKX m.okxxvip.com
BW dejhq.com/1x9mH
Matamax www.mestta.com
BDG user.bdgvip.com
DEFI www.defikrb.com
Starlux a001.starlux.mobi
Deutsche Börse Group（Deutsche Borse AG） d.app33007.top/?id=d347f2a46e099dd86170fb6ad8a3ac53
Yasen coinmarketcap.yasenfinancial.site
速匯國際 expresstw.com
百盛國際 bais906.club
NFT Trading nftpess.com
AIC Markets www.aicmks.com
BRK brk.skin
Waytec e02.wayteciyes.com
BTMIN www.btminza.com
BingBon bing-bon.online
Daiethera www.daietherfinance.com
Appletw 2.applettwts.com
新展 app.vrnjwqjshbak.com
EEX eexmarket.cc
SDAG sdag-ex.xyz
Etoro www.tivcm.com
宏瀚 www.kgnjdnsdnaw.com
Exness www.nyse10.top
威尼斯人 www.wnsr58888.live
CoinB www.btdke.com
Genesis Block usa.genesk.com
Global PayMents（Thunder Soft、RB Global） www.fxvghdgxc.com
Bitfarme www.bitfarmes.com
LBANK www.exlbnk.com
托克國際 www.ttuokeglobal.com
和通 rb.aocnej.tw
Metastrust metas-trust.club
Metaverse www.me006.com
NGDF國家綠色發展基金 fazhanjijin.live
ARCH nft.richenatets.com
Bellagio belc.bellagio.world
匯智信金融 www.witsfin.online
Biking www.bikinge.vip
Rakuten樂天商城 letan168.com
Estimated Investment estimatedinvestment.com
ETH Mining ethereumcvc.com
CMS招商證券國際 zszj778899.net
中银国际证券 zygj668.xyz
YCoin yycoin.vip
ZEB TRADE zebtrade.net
zenethtrades zenethtrades.net
Zicon Amex Trading ziconamextrading.com
Zobi Trades zobitrade.com
zorxBIT zorxbit.com
zextroninvestments zextroninvestments.com
Zill Investment zillinvestment.com
crypex crypex.live
ISE iseksf.com
FTX Pro ftxkex.com
Evest Group Ltd evest.life
AIMS m.aims159.com
EXCO excotrader.com
ALFABTC www.alfabtc.network
AlfaTradingFX alfatradingfx.com
Algobitrade algobitrade.com
AlgorithmicCrypto algorithmiccrypto.co.uk
Algotradesfx algotradesfx.com
Allcrypton allcrypton.com
Alfa Investor alfainvestor.pro
ALGOINVEST algofxtrader.finance
AliExpress aliexpress-shop.vip
All Asia Trade allasiatrade.net
Allheritagefx allheritagefx.com
ETH-BNS erc-bns.com
Main Bit main-bit.com
Dscoinex dscoinex.com
gicupbit gicupbit.com
workdaybvb www.workdaybvb.com
paybito-crypro www.bafinmy.top
paybito-crypro www.paybito-crypro.com
IG igexchanges.com
ZNZK www.znzklxy.com
OPT octaprimecoin.com
ama-uni ama-uni.com
1COIN www.onecns.vip
isebes www.isebes.com
DBEX bitdbex.lol
GRQ Global aitefx.com
Akademi Crypto akademicrypto.com
akexchanger akexchanger.com
Arsal Khan akfxtrading.net
Alaxfinance alaxfinance.com
Alcoa Trade alcoatrade.com
AI Funds aifundslimited.org
Ad-Btc ad-btc.click
ADAX DEX adax-pro.online
G-Capital trades addictctrades.xyz
Adroit Financiers adroitfinancier.com
advanced-fx advanced-fx.com
advancedglobalexchange advancedglobalexchange.com
Advanceindex-procapita advanceindex-procapital.net
PURCHASE CHINESE PRODUCTS aexj.net
AFAWA afawacoin.com
Affirmminer affirmminer.com
affirmtrade affirmtrade.com
Affordable Trademark Registration affordabletrademarkregistration.com
PURCHASE CHINESE PRODUCTS afxl.net
AGR Investment Adviser agrinvestmentadviser.com
COMEXTW canada.comextw.com
FTV 9859fx.com
ASX a-exchangepro.com
Financial income aausdt365.com
AAVE aave-ethereum.info
Aave aavecryptogift.online
aave aavefxz.live
ETH Mining aavev3-defi.com
ETH Mining aavev3-eth.com
ETH Mining aavev3-index.com
ETH Mining aavev3-usdt.com
AAX-Exchange aax-exchange1.com
AAX-Exchange aax-exchange2.com
AAX-Exchange aax-exchange3.com
XRL Crypto Derivatives Exchange aaxcoins.org
ab-mining ab-mining.ltd
Abacus Invests abacusinvests.com
abcdx abcdx.site
ABGH Trade Fx Limited abghtradefx.com
Abiro Trades abirotrades.com
ABX Exchange abxexchange.com
Crptoint FX acceltradingpoint.com
Access Pro Trade accessprotrade.com
accurewealthtrade accurewealthtrade.net
ACE ace-eth.com
Ace Profitable Fx Trade aceprofitablefxtrade.online
Achievers Online Trade achieversonline-trade.com
acoinforex www.acoinforex.ltd
acorntrusts acorntrusts.com
Acrux Exchange acruxexchangein.com
AB Investments abinvestmentonline.com
Abra Traders abratradershubs.com
24Bitfex 24bitfex.com
24BITNEX 24bitnex.com
24coin5 24coin5.com
24CryptoMining 24cryptomining.com
24investments 24investments.online
24Trust Forex Trade 24trustfxtrade.online
34expertoption 34expertoption.com
360CLASSIC 360classictrading.com
360MoonExchange 360moonexchange.com
365EX Crypto www.365exx.com
365trading 365trading.ltd
48SuperFx 48superfx.com
4 Bit 4bit.online
4cryptop 4cryptop.com
4cryptor 4cryptor.com
FXDD 4ex7uma3.com
5xInvest® 5xxinvests.com
888CryptoCasinò 888cryptocasino.online
365expertminingtrading 365expertminingtrading.com
511coin 511coin.com
随借随还 7ex2o.bond
Axion Trade Limited axiontradelimited.net
Axiorytrades axiorytrades.com
axoncryptofxtrades axoncryptofxtrades.online
AXT Trade axttrade.com
Asset Investing azarinvestmentpty.com
AzBit azbitpro.com
AZCryptoInvestments azcryptoinvestments.com
Azforexinvestmentsignal azforexglobalmarketltd.online
forex-time forex-time.ltd
XM Global Limited www.x1market.com
ForexVPS365 forexvps365.com
FOREX TETRA forextetra.com
ForexThaitown forexthaitown.com
forex Treasures forextreasures.com
ZHONGFA众发 pc.03564.com
复星e通 fosun-invest.org
复星e通 fosuninvest.org
Foxbit Capital foxbitcapital.com
Foxtons Invest foxtonsinvest.net
FOX TRADE foxtrade.website
XM www.x1m1tech.online
XM freeswap-trading.com
FTM Invest ftm-invest.com
FTX Trading ftxtrading.live
Fundlabinvest fundlabinvest.com
Funds Bit LTD fundsbitltd.com
GAREXTRADE garextrade.com
GARLYBIT garlybit.com
Gasochains gasochains.com
FIZYCRYPTO gazprominvesting.space
geniusinvestmenthub geniusinvestmenthub.com
以太幣投資 ethinvesting.org
Ethwswap ethwswap.org
ETO Markets Limited www.etotrader.com
RAYBET etradersonline.com
Eurotrade Invest Group eurotradeinvest.com
ev-trade ev-trade.com
Exbitcbulls exbitcbulls.com
Exdaotrade exdaotrade.com
EXOTICOTRADEHUB247 exoticotradehub247.com
Expert Traders expert-traders.org
Expert Investment Company expertinvestmentcompany.com
EXPERTTRADES experttrades.biz
Expert Trading Pro experttradingpro.com
Explorer Blockchain explorer-blockchain.net
Expressblockminer expressblockminer.com
extrademarket extrademarket.com
EYEXBIT eyexbit.com
FAST BIT fastbit.biz
FASTLIFE TRADING fastlifetrading.com
FDC fdcchain.org
federalstockstrade federalstockstrade.com
Fennex Trading Services fennextradingservices.com
fexcryptoassets fexcryptoassets.com
Fexdaotrade fexdaotrade.com
Financial advisory Trades financialadvisorytrades.org
FINANCIALMINESET financialmineset.com
Finotechtrade finotechtrade.com
